case_id,text,source,label_triage,red_flags_gold,target_panic_score
TR_CRIT_00073,Nefes darlığı çok arttı! Yığıldım! Yardım edin!,synthetic_tr_final,CRITICAL,1,0.76
TR_CRIT_00074,Önümde biri yere düştü ve baygın yatıyor! Hemen gelin!,synthetic_tr_final,CRITICAL,1,0.81
TR_CRIT_00075,Aciiiiil! Ölüyorummmmm!,synthetic_tr_final,CRITICAL,1,0.8
TR_MON_00011,"Ne yaptığımı bilmiyorum demiyorum, sadece biraz halsizim.",synthetic_tr_final,NON_URGENT,0,0.29
TR_MON_00012,"Bakar mısınız, ufak çizik aldım. Yüzeysel gibi görünüyor.",synthetic_tr_final,NON_URGENT,0,0.2
TR_MON_00013,Bisikletten yavaşça düştüm. Hafif ağrı var ama iyiyim.,synthetic_tr_final,NON_URGENT,0,0.19
TR_MON_00014,Bisikletten yavaşça düştüm. Hafif ağrı var ama iyiyim.,synthetic_tr_final,NON_URGENT,0,0.1
TR_CRIT_00076,Göğsüm cok kötü sıkışıyor! Nefes alamıyorum! Yardım edin!,synthetic_tr_final,CRITICAL,1,0.78
TR_CRIT_00077,Lütfen Lütfen Lütfen Lütfen!,synthetic_tr_final,CRITICAL,1,0.83
TR_URG_00042,Nefes darlığı var. Konuşurken zorlanıyor.,synthetic_tr_final,URGENT,0,0.61
TR_MON_00015,"Ne yaptığımı bilmiyorum demiyorum, sadece biraz halsizim.",synthetic_tr_final,NON_URGENT,0,0.16
TR_URG_00043,"şey, annem fenalaştı şu an oturuyor ama iyi görünmüyor",synthetic_tr_final,URGENT,0,0.63
TR_CRIT_00078,Nefes alamıyorum Nefes alamıyorum Nefes alamıyorum!,synthetic_tr_final,CRITICAL,1,0.76
TR_MON_00016,Hafif öksürük var. Dinlenince geçebilir.,synthetic_tr_final,NON_URGENT,0,0.21
TR_CRIT_00079,Acil Acil Acil Acil!,synthetic_tr_final,CRITICAL,1,0.81
TR_CRIT_00080,kurtarın kurtarın kurtarın! bilincini kaybetti!,synthetic_tr_final,CRITICAL,1,0.8
TR_CRIT_00081,Biri vuruldu! Çok kanıyor! Ambulans gönderin!,synthetic_tr_final,CRITICAL,1,0.73
TR_CRIT_00082,Yaşlı bir adam ağır yaralı! Kan var! Acil yardım!,synthetic_tr_final,CRITICAL,1,0.81
TR_CRIT_00083,"alo, önümde biri yere düştü ve baygin yatıyor! hemen gelin!",synthetic_tr_final,CRITICAL,1,0.83
TR_CRIT_00084,İmdaaat! Hasta bilincini kaybetti!,synthetic_tr_final,CRITICAL,1,0.74
TR_MON_00017,Kolumda hafif ağrı var. Kas krampı olabilir.,synthetic_tr_final,NON_URGENT,0,0.23
TR_CRIT_00085,Kan var! Annem bıçaklandı! Lütfen hemen!,synthetic_tr_final,CRITICAL,1,0.83
TR_CRIT_00086,"Şey, çocuğum yanlış ilaç içti! Zehirlenmiş olabilir! Yardım!",synthetic_tr_final,CRITICAL,1,0.8
TR_CRIT_00087,bir adam yere yığıldı kalp krizi geçiriyor olabilir.,synthetic_tr_final,CRITICAL,1,0.82
TR_CRIT_00088,"Bakar mısınız, trafik kazası! Birçok yaralı! Ambulans lazım!",synthetic_tr_final,CRITICAL,1,0.68
TR_MON_00018,Beslenme danışmanı önerir misin? Sağlık için.,synthetic_tr_final,NON_URGENT,0,0.22
TR_CRIT_00089,Lütfen lütfen lütfen! Şimdi şimdi şimdi!,synthetic_tr_final,CRITICAL,1,0.68
TR_CRIT_00090,Önümde biri yere düştü ve baygın yatıyor! Hemen gelin!,synthetic_tr_final,CRITICAL,1,0.78
TR_CRIT_00091,Baygin yatıyor Baygin yatıyor Baygin yatıyor!,synthetic_tr_final,CRITICAL,1,0.84
TR_CRIT_00092,biri vuruldu! çok kanıyor! ambulans gönderin!,synthetic_tr_final,CRITICAL,1,0.75
TR_CRIT_00093,Kardeşim ağır yaralı! Kan var! Acil yardım!,synthetic_tr_final,CRITICAL,1,0.82
TR_URG_00044,Başım çok acıyor. Gözüm kararıyor. Çok kötüyüm.,synthetic_tr_final,URGENT,0,0.54
TR_URG_00045,Göğüs ağrısı var. Hava almakta zorluk çekiyorum.,synthetic_tr_final,URGENT,0,0.41
TR_URG_00046,Bir kişi baygın gibi oldu ama şimdi gözünü açtı.,synthetic_tr_final,URGENT,0,0.49
TR_CRIT_00094,Göğsüm çok kötü sıkışıyor! Nefes alamıyorum! Yardım edin!,synthetic_tr_final,CRITICAL,1,0.69
TR_CRIT_00095,Evde yangın var! Kurtarın! Çabuk!,synthetic_tr_final,CRITICAL,1,0.69
TR_CRIT_00096,hasta kan kusuyor! çok kötü durumda! acil yardım!,synthetic_tr_final,CRITICAL,1,0.72
TR_CRIT_00097,silah var! fenalaştı! çok tehlikeli!,synthetic_tr_final,CRITICAL,1,0.77
TR_CRIT_00098,bakar mısınız baygın biri var! tepki vermiyor! hemen gelin!,synthetic_tr_final,CRITICAL,1,0.66
TR_CRIT_00099,"Bakar mısınız, çocuğum yanlış ilaç içti! Zehirlenmiş olabilir! Yardım!",synthetic_tr_final,CRITICAL,1,0.76
TR_CRIT_00100,"Merhaba, yardım yardım yardım! Acil acil acil!",synthetic_tr_final,CRITICAL,1,0.68
TR_CRIT_00101,Komşum kan kusuyor! Cok kötü durumda! Acil yardim!,synthetic_tr_final,CRITICAL,1,0.78
TR_URG_00047,Başım çok acıyor. Gözüm kararıyor. Çok kötüyüm.,synthetic_tr_final,URGENT,0,0.56
TR_CRIT_00102,Trafik kazası! Birçok yaralı! Ambulans lazım!,synthetic_tr_final,CRITICAL,1,0.79
TR_MON_00019,Boğazımda hafif yanma var. Soğuk algınlığı gibi geliyor.,synthetic_tr_final,NON_URGENT,0,0.17
TR_URG_00048,"Alo, kasığımda ağrı oluyor. Oturmakta zorlanıyorum.",synthetic_tr_final,URGENT,0,0.64
TR_CRIT_00103,Trafik kazası! Bircok yaralı! Ambulans lazım!,synthetic_tr_final,CRITICAL,1,0.78
TR_CRIT_00104,kalp atışım çok hızlı! ölüyorum! yardım!,synthetic_tr_final,CRITICAL,1,0.76
TR_CRIT_00105,Göğsüm çok kötü sıkışıyor! Nefes alamıyorum! Yardım edin!,synthetic_tr_final,CRITICAL,1,0.75
TR_CRIT_00106,"Alo, kurtarın Kurtarın Kurtarın Kurtarın!",synthetic_tr_final,CRITICAL,1,0.68
TR_URG_00049,"kolumun üstüne düştüm, çok acıyor ama kanama yok",synthetic_tr_final,URGENT,0,0.59
TR_URG_00050,"Şey, canım çok acıyor. Özellikle başımda tarafımda ağrı var.",synthetic_tr_final,URGENT,0,0.42
TR_URG_00051,nefes nefes kaldım. yardım lazım.,synthetic_tr_final,URGENT,0,0.56
TR_CRIT_00107,Yaşlı bir adam ağır yaralı! Kan var! Acil yardım!,synthetic_tr_final,CRITICAL,1,0.75
TR_CRIT_00108,"Alo, kan var! Arkadaşım nefes almıyor! Lütfen şimdi!",synthetic_tr_final,CRITICAL,1,0.65
TR_CRIT_00109,Babam fenalaştı ve nefes almıyor! Çabuk gelin!,synthetic_tr_final,CRITICAL,1,0.81
TR_CRIT_00110,Göğsüm çok kötü sıkışıyor! Nefes alamıyorum! Yardım edin!,synthetic_tr_final,CRITICAL,1,0.81
TR_URG_00052,göğüs ağrısı var hava almakta zorluk çekiyorum,synthetic_tr_final,URGENT,0,0.51
TR_URG_00053,Bir kişi baygın gibi oldu ama şimdi gözünü açtı.,synthetic_tr_final,URGENT,0,0.51
TR_URG_00054,"Biri yere düştü, başını çarptı ve sersemledi.",synthetic_tr_final,URGENT,0,0.65
TR_CRIT_00111,"Bakar mısınız, silah var! nefes almıyor! Çok tehlikeli!",synthetic_tr_final,CRITICAL,1,0.79
TR_MON_00020,Bisikletten yavaşça düştüm. Hafif ağrı var ama iyiyim.,synthetic_tr_final,NON_URGENT,0,0.28
TR_CRIT_00112,Nefes darlığı cok arttı! Yığıldım! Yardım edin!,synthetic_tr_final,CRITICAL,1,0.84
TR_URG_00055,Göğüs ağrısı var. Hava almakta zorluk çekiyorum.,synthetic_tr_final,URGENT,0,0.5
TR_CRIT_00113,Kalp atışım çok hızlı! bilincini kaybetti! Yardim!,synthetic_tr_final,CRITICAL,1,0.69
TR_CRIT_00114,Yaşlı bir adam kan kusuyor! Çok kötü durumda! Acil yardım!,synthetic_tr_final,CRITICAL,1,0.76
TR_URG_00056,Başım çok acıyor. Gözüm kararıyor. Çok kötüyüm.,synthetic_tr_final,URGENT,0,0.52
TR_URG_00057,alerjik reaksiyon olabilir yüzüm şişti zorluk çekiyor,synthetic_tr_final,URGENT,0,0.53
TR_CRIT_00115,Çocuğum yanlış ilaç içti! Zehirlenmiş olabilir! Yardım!,synthetic_tr_final,CRITICAL,1,0.8
TR_MON_00021,"Bakar mısınız, başım ağrıyor. Normal ilaçla geçer sanırım.",synthetic_tr_final,NON_URGENT,0,0.26
TR_URG_00058,"Ateş var, 41 derece. Nefes alırken batma hissi var.",synthetic_tr_final,URGENT,0,0.57
TR_CRIT_00116,"Merhaba, yaaaardım! Hava alamıyorum! Yardım edin!",synthetic_tr_final,CRITICAL,1,0.73
TR_CRIT_00117,çocuğum nefes alamıyor! morardı! ambulans lazım!,synthetic_tr_final,CRITICAL,1,0.71
TR_URG_00059,Ağrı ağrı ağrı. Durmuyor. Tıbbi yardım lazım.,synthetic_tr_final,URGENT,0,0.49
TR_CRIT_00118,"Bakar mısınız, yaaaardım! Nefes alamıyorum!",synthetic_tr_final,CRITICAL,1,0.7
TR_CRIT_00119,Kaaaaan! Çoooook kan!,synthetic_tr_final,CRITICAL,1,0.76
TR_CRIT_00120,Aciiiiil! Ölüyorummmmm!,synthetic_tr_final,CRITICAL,1,0.74
TR_URG_00060,Nefes darlığı var. Konuşurken zorlanıyor.,synthetic_tr_final,URGENT,0,0.41
TR_URG_00061,Kasığımda çok acıyor. Oturmakta zorlanıyorum.,synthetic_tr_final,URGENT,0,0.53
TR_CRIT_00121,Annem fenalaştı ve nefes almıyor! Çabuk gelin!,synthetic_tr_final,CRITICAL,1,0.74
TR_URG_00062,Canım çok acıyor. Özellikle göğsümde tarafımda ağrı var.,synthetic_tr_final,URGENT,0,0.51
TR_CRIT_00122,Evde yangın var! Kurtarın! Çabuk!,synthetic_tr_final,CRITICAL,1,0.74
TR_CRIT_00123,Çocuğum yanlış ilaç içti! Zehirlenmiş olabilir! Yardım!,synthetic_tr_final,CRITICAL,1,0.74
TR_CRIT_00124,Evde yangın var! Kurtarın! Çabuk!,synthetic_tr_final,CRITICAL,1,0.66
TR_CRIT_00125,Önümde biri yere düştü ve baygın yatıyor! Hemen gelin!,synthetic_tr_final,CRITICAL,1,0.67
TR_CRIT_00126,Silah var! yere düştü! Çok tehlikeli!,synthetic_tr_final,CRITICAL,1,0.85
TR_CRIT_00127,Yaaaardım! Çocuğum bayıldı!,synthetic_tr_final,CRITICAL,1,0.83
TR_MON_00022,Uyku düzenim kötü. İyileştirmek için tavsiye?,synthetic_tr_final,NON_URGENT,0,0.26
TR_URG_00063,Nefes nefes kaldım. Yardım lazım.,synthetic_tr_final,URGENT,0,0.57
TR_CRIT_00128,"Lütfen, çocuğum nefes alamıyor! Morardı! Ambulans lazım!",synthetic_tr_final,CRITICAL,1,0.82
TR_CRIT_00129,"alo, nefes darlığı çok arttı! yığıldım! yardım edin!",synthetic_tr_final,CRITICAL,1,0.8
TR_URG_00064,alerjik reaksiyon olabilir yüzüm şişti ayağa kalkamıyor,synthetic_tr_final,URGENT,0,0.61
TR_CRIT_00130,Trafik kazası! Birçok yaralı! Ambulans lazım!,synthetic_tr_final,CRITICAL,1,0.73
TR_URG_00065,Alerjik reaksiyon olabilir. Yüzüm şişti. ayağa kalkamıyor.,synthetic_tr_final,URGENT,0,0.55
TR_CRIT_00131,Annem kan kusuyor! Çok kötü durumda! Acil yardım!,synthetic_tr_final,CRITICAL,1,0.76
TR_CRIT_00132,çocuğum nefes alamiyo! morardı! ambulans lazım!,synthetic_tr_final,CRITICAL,1,0.77
TR_CRIT_00133,silah var! kanıyor! çok tehlikeli!,synthetic_tr_final,CRITICAL,1,0.84
TR_CRIT_00134,"Bakar mısınız, çabuk Çabuk Çabuk! Kalp atışı yok!",synthetic_tr_final,CRITICAL,1,0.81
TR_URG_00066,"Lütfen, biri yere düştü, başını çarptı ve sersemledi.",synthetic_tr_final,URGENT,0,0.61
TR_CRIT_00135,"şey, baygın yatıyor baygın yatıyor baygın yatıyor!",synthetic_tr_final,CRITICAL,1,0.72
TR_CRIT_00136,Evde yangın var! Kurtarın! Çabuk!,synthetic_tr_final,CRITICAL,1,0.7
TR_CRIT_00137,Lütfen lütfen lütfen! Şimdi şimdi şimdi!,synthetic_tr_final,CRITICAL,1,0.76
