id,file_name,title,date,state,civilian_initiated,deaths,potential_death,false_alarm,text_raw,text_clean,label_category_suggested,label_triage_suggested,red_flags_suggested,category_hits,triage_hits,suggestion_confidence,label_category_gold,label_triage_gold,red_flags_gold,reviewed_by,review_notes
11,call_11.mp3,911 Call for a Date,1/06,Oregon,1.0,0.0,0.0,1.0,911 Call for a Date – Lorna Jeanne Dudash in Aloha (Ore.) dialed 911 to ask for the name of a “cute” Washington County sheriff’s deputy she had just encountered. The deputy returned to her house and arrested her.,911 call for a date – lorna jeanne dudash in aloha (ore.) dialed 911 to ask for the name of a “cute” washington county sheriff’s deputy she had just encountered. the deputy returned to her house and arrested her.,other,NON_URGENT,0,,,0.55,other,NON_URGENT,0,,
12,call_12.mp3,Murder 911 Call,6/96,Texas,1.0,2.0,1.0,0.0,"Murder 911 Call – In June 1996 two children were stabbed to death in their home in Rowlett (Tex.), and their mother Darlie Routier was later arrested for their murder. A jury later did not believe that an intruder killed the children and seriously injured Routier, and she was convicted. The case is now on appeal.","murder 911 call – in june 1996 two children were stabbed to death in their home in rowlett (tex.), and their mother darlie routier was later arrested for their murder. a jury later did not believe that an intruder killed the children and seriously injured routier, and she was convicted. the case is now on appeal.",crime,CRITICAL,1,"stab, murder",,0.99,crime,CRITICAL,1,,
13,call_13.mp3,Jon Benet 911 Call,12/96,Colorado,1.0,1.0,1.0,0.0,"Jon Benet 911 Call JonBenét Patricia Ramsey (August 6, 1990 – December 25 or 26, 1996)[1] was an American child beauty queen who was killed at the age of six in her family's home in Boulder, Colorado.","jon benet 911 call jonbenét patricia ramsey (august 6, 1990 – december 25 or 26, 1996)[1] was an american child beauty queen who was killed at the age of six in her family's home in boulder, colorado.",other,CRITICAL,1,,,0.8,other,CRITICAL,1,,
14,,Columbine Incident CDs,4/99,Colorado,1.0,13.0,1.0,0.0,Columbine Incident CDs Columbine High School massacre,columbine incident cds columbine high school massacre,other,CRITICAL,1,,,0.8,other,CRITICAL,1,,
15,call_15.mp3,Murder 911 call – Wash.,1/07,Washington,1.0,2.0,1.0,0.0,Murder 911 call – Wash. – In Jan. 2007 a Vancouver (Wash.) man called to confess killing two persons with a knife. Dylon R. Peterson was arrested by arriving police.,murder 911 call – wash. – in jan. 2007 a vancouver (wash.) man called to confess killing two persons with a knife. dylon r. peterson was arrested by arriving police.,crime,CRITICAL,1,"knife, murder",,0.99,crime,CRITICAL,1,,
16,call_16.mp3,Murder 911 Call – SC,5/06,South Carolina,1.0,1.0,1.0,0.0,"Murder 911 Call – SC – In May, 2006 a Clemson college student was found strangeled to death in her apartment, and a student calls to report finding her body.","murder 911 call – sc – in may, 2006 a clemson college student was found strangeled to death in her apartment, and a student calls to report finding her body.",crime,CRITICAL,1,murder,,0.99,crime,CRITICAL,1,,
17,call_17.mp3,Maryland fire 911,1/07,Maryland,1.0,5.0,1.0,0.0,"Maryland fire 911 – In Jan. 2007 five residents in Abingdon (Md.) died in a house fire, reported by several 911 calls. There was some criticism that the Harford County comm center took several minutes to dispatch fire units, but officials said an uncertain address only delayed units by seconds.","maryland fire 911 – in jan. 2007 five residents in abingdon (md.) died in a house fire, reported by several 911 calls. there was some criticism that the harford county comm center took several minutes to dispatch fire units, but officials said an uncertain address only delayed units by seconds.",fire,CRITICAL,1,"fire, house fire",house fire,0.99,fire,CRITICAL,1,,
18,call_18.mp3,Baby not breathing,2/07,Texas,1.0,0.0,1.0,0.0,"Baby not breathing – In Feb. 2007 a San Antonio (Tex.) family noticed their infant was not breathing and dialed 911. The call was promptly answered at the police department, but the dispatcher then transferred the call to the EMS comm center, where a recording played for 4 minutes.","baby not breathing – in feb. 2007 a san antonio (tex.) family noticed their infant was not breathing and dialed 911. the call was promptly answered at the police department, but the dispatcher then transferred the call to the ems comm center, where a recording played for 4 minutes.",medical,CRITICAL,1,not breathing,not breathing,0.8,medical,CRITICAL,1,,
19,call_19.mp3,Crash 911 Call – Colo.,1/07,Colorado,1.0,0.0,1.0,0.0,"Crash 911 Call – Colo. – In Feb. 2007 several teens stopped on a rural road and were rear-ended by another car, seriously injuring several of the teens. They dialed 911 for help and reached the Loveland Police Department, but there was confusion about their location. They had difficulty trying to describe their location. Read more","crash 911 call – colo. – in feb. 2007 several teens stopped on a rural road and were rear-ended by another car, seriously injuring several of the teens. they dialed 911 for help and reached the loveland police department, but there was confusion about their location. they had difficulty trying to describe their location. read more",other,CRITICAL,1,,crash,0.8,other,CRITICAL,1,,
20,call_20.mp3,Fire rescue 911 call-Md.,2/07,Maryland,1.0,0.0,1.0,0.0,"Fire rescue 911 call-Md. – On February 3, 2007 firefighters rescued 5 children from a house fire at 9819 Connecticut Avenue, in Kensington (Montgomery County, Md.). Two 17 month-old girls (twins) were hospitalized in critical condition. A 12 year-old girl, 7 year-old boy, a 3 year-old girl and the twins were rescued from the second floor. The twins were found unconscious. The fire started on the first floor and the smoke alarm did activate. The oldest child, age 12 called 911 and was very composed as the Montgomery County Fire and Rescue Service (MCFRS) dispatcher provided instructions.","fire rescue 911 call-md. – on february 3, 2007 firefighters rescued 5 children from a house fire at 9819 connecticut avenue, in kensington (montgomery county, md.). two 17 month-old girls (twins) were hospitalized in critical condition. a 12 year-old girl, 7 year-old boy, a 3 year-old girl and the twins were rescued from the second floor. the twins were found unconscious. the fire started on the first floor and the smoke alarm did activate. the oldest child, age 12 called 911 and was very composed as the montgomery county fire and rescue service (mcfrs) dispatcher provided instructions.",fire,CRITICAL,1,"fire, smoke, house fire","unconscious, house fire",0.8,fire,CRITICAL,1,,
21,call_21.mp3,Carwash 911 – Mich.,3/07,Michigan,1.0,0.0,0.0,0.0,"Carwash 911 – Mich. – In March 2007 Monica Hudson dialed 911 when she became trapped inside an automated car wash building on 24th St. in Port Huron (Mich.) when the machinery stalled. The dispatcher talked to her for several minutes. Finally another patron came through, pushed some buttons and the doors came open.","carwash 911 – mich. – in march 2007 monica hudson dialed 911 when she became trapped inside an automated car wash building on 24th st. in port huron (mich.) when the machinery stalled. the dispatcher talked to her for several minutes. finally another patron came through, pushed some buttons and the doors came open.",other,URGENT,0,,,0.35,other,URGENT,0,,
22,,Adam-12 Opening,,,,,,,Adam-12 Opening,adam-12 opening,other,URGENT,0,,,0.35,other,URGENT,0,,
23,,FCC 1st Resp Summit,,,,,,,FCC 1st Resp Summit,fcc 1st resp summit,other,URGENT,0,,,0.35,other,URGENT,0,,
24,call_24.mp3,Kansas City Shooting #1,4/07,Missouri,0.0,3.0,1.0,0.0,"Kansas City Shooting #1 A shooting in Kansas City, Mo., on Sunday afternoon left three people dead, including the gunman.","kansas city shooting #1 a shooting in kansas city, mo., on sunday afternoon left three people dead, including the gunman.",crime,CRITICAL,1,"gun, shooting",shooting,0.99,crime,CRITICAL,1,,
25,call_25.mp3,Kansas City Shooting #2,4/07,Missouri,0.0,3.0,1.0,0.0,Kansas City Shooting #2,kansas city shooting #2,crime,CRITICAL,1,shooting,shooting,0.99,crime,CRITICAL,1,,
26,,Oakland tanker fire 911,4/07,California,1.0,0.0,1.0,0.0,"Oakland tanker fire 911 – In Jan. 2007 a tanker traveling through an Interstate highway interchange in Oakland (Calif.) overturned, setting a fire that melted an overpass that cut a key highway link in the Bay area. Many people dialed 911 to report the 8,000 gallon gasoline tanker crash and fire. The driver was badly burned, and ended up walking over a mile to a convenience store where a cab driver realized her was injured and drove him to a hospital.","oakland tanker fire 911 – in jan. 2007 a tanker traveling through an interstate highway interchange in oakland (calif.) overturned, setting a fire that melted an overpass that cut a key highway link in the bay area. many people dialed 911 to report the 8,000 gallon gasoline tanker crash and fire. the driver was badly burned, and ended up walking over a mile to a convenience store where a cab driver realized her was injured and drove him to a hospital.",fire,CRITICAL,1,fire,crash,0.8,fire,CRITICAL,1,,
27,call_27.mp3,Wisc. Nanny 911 call,5/07,Wisconsin,1.0,0.0,0.0,1.0,"Wisc. Nanny 911 call “I need a nanny,” the woman says. “Yeah, this is a nanny 911.”
The woman goes on to request a baby sitter, help with her kids and someone to keep her company.
In disbelief, the dispatcher informs the caller that isn’t what 911 is for.","wisc. nanny 911 call “i need a nanny,” the woman says. “yeah, this is a nanny 911.” the woman goes on to request a baby sitter, help with her kids and someone to keep her company. in disbelief, the dispatcher informs the caller that isn’t what 911 is for.",other,NON_URGENT,0,,,0.55,other,NON_URGENT,0,,
28,call_28.mp3,Officer’s MJ call – Mich.,5/07,Michigan,1.0,0.0,0.0,1.0,"Officer’s MJ call – Mich. – off-duty officer calls to report he and his wife might have ingested marijuana brownies, and he sounds toasted","officer’s mj call – mich. – off-duty officer calls to report he and his wife might have ingested marijuana brownies, and he sounds toasted",other,NON_URGENT,0,,,0.55,other,NON_URGENT,0,,
29,,Leno’s wacky 911,,,,,,,Leno’s wacky 911,leno’s wacky 911,other,URGENT,0,,,0.35,other,URGENT,0,,
30,call_30.mp3,Columbus drowning 911,5/07,Ohio,1.0,1.0,1.0,0.0,"Columbus drowning 911 – The Spanish-speaking parents of a 4 year-old girl who fell into a pool dialed 911 in Columbus (Ohio), but had trouble explaining what had happened and where they were. It took 2 minutes to conference in an interpreter.","columbus drowning 911 – the spanish-speaking parents of a 4 year-old girl who fell into a pool dialed 911 in columbus (ohio), but had trouble explaining what had happened and where they were. it took 2 minutes to conference in an interpreter.",other,CRITICAL,1,,,0.8,other,CRITICAL,1,,
31,call_31.mp3,Courthouse shooting,5/07,Idaho,1.0,2.0,1.0,0.0,"Courthouse shooting – In May 2007 a gunman opened fire on the Latah County (Idaho) Courthouse at night, where several dispatchers were working. Residents dialed 911 to report it to the dispatchers who were themselves under fire. A Moscow city police officer was killed by the gunfire and a deputy was wounded. The suspect Paul Bauer killed himself in a nearby church. Read more","courthouse shooting – in may 2007 a gunman opened fire on the latah county (idaho) courthouse at night, where several dispatchers were working. residents dialed 911 to report it to the dispatchers who were themselves under fire. a moscow city police officer was killed by the gunfire and a deputy was wounded. the suspect paul bauer killed himself in a nearby church. read more",fire,CRITICAL,1,fire,shooting,0.99,fire,CRITICAL,1,,
32,call_32.mp3,River Phoenix 911 call,10/93,California,1.0,1.0,1.0,0.0,"River Phoenix 911 call – In Oct. 1993 actor River Phoenix collapsed outside a Hollywood (Calif.) nightclub, prompting a 911 call for help. He was taken to a hospital where he was pronounced dead, later determined to be a drug overdose.","river phoenix 911 call – in oct. 1993 actor river phoenix collapsed outside a hollywood (calif.) nightclub, prompting a 911 call for help. he was taken to a hospital where he was pronounced dead, later determined to be a drug overdose.",medical,CRITICAL,1,"overdose, collapse",overdose,0.99,medical,CRITICAL,1,,
33,call_33.mp3,Wheelchair ride – Mich.,6/07,Michigan,1.0,0.0,1.0,0.0,"Wheelchair ride – Mich. – In June 2007 caller in Paw Paw (Mich.) reported that a man in a wheelchair, Ben Carpenter, had been struck by an 18-wheel truck while crossing the street, and was was now stuck to the front of the truck and being dragged down the street. Read more","wheelchair ride – mich. – in june 2007 caller in paw paw (mich.) reported that a man in a wheelchair, ben carpenter, had been struck by an 18-wheel truck while crossing the street, and was was now stuck to the front of the truck and being dragged down the street. read more",other,CRITICAL,1,,,0.55,other,CRITICAL,1,,
34,call_34.mp3,Festival crash – DC,6/07,DC,1.0,0.0,1.0,0.0,"Festival crash – DC – In June 2007 a woman allegedly on drugs drove through a Anacostia district Washington (DC) weekend street festival, injuring dozens of pedestrians. Callers dialed 911 when Tonya Bell drove through a barricade and into the crowded street at up to 70 mph. Police finally stopped her cara by throwing two motorscooters under her car.","festival crash – dc – in june 2007 a woman allegedly on drugs drove through a anacostia district washington (dc) weekend street festival, injuring dozens of pedestrians. callers dialed 911 when tonya bell drove through a barricade and into the crowded street at up to 70 mph. police finally stopped her cara by throwing two motorscooters under her car.",other,CRITICAL,1,,crash,0.8,other,CRITICAL,1,,
35,call_35.mp3,LA hospital 911 calls,5/07,California,1.0,1.0,1.0,0.0,"LA hospital 911 calls – caller from a hospital emergency room dials 911 to report a medical problem, later dies","la hospital 911 calls – caller from a hospital emergency room dials 911 to report a medical problem, later dies",other,CRITICAL,1,,,0.8,other,CRITICAL,1,,
36,call_36.mp3,Murder-suicide – Wisc.,6/07,Wisconsin,1.0,6.0,1.0,0.0,"Murder-suicide – Wisc. – In June 2007 23 year-old Amborsio Analco shot and killed six persons–including his own small children–inside a Delavan (Wisc.) duplex, and then killed himself.","murder-suicide – wisc. – in june 2007 23 year-old amborsio analco shot and killed six persons–including his own small children–inside a delavan (wisc.) duplex, and then killed himself.",crime,CRITICAL,1,"shot, murder",,0.99,crime,CRITICAL,1,,
37,call_37.mp3,Stabbing 911,6/07,Connecticut,1.0,1.0,1.0,0.0,"Stabbing 911 – In June 2007 a neighbor came to Barry James’ house in Fairfield (Conn.) and stabbed him to death, apparently in retaliation. James’ father dialed 911 to report the incident, along with several neighbors. Read more","stabbing 911 – in june 2007 a neighbor came to barry james’ house in fairfield (conn.) and stabbed him to death, apparently in retaliation. james’ father dialed 911 to report the incident, along with several neighbors. read more",crime,CRITICAL,1,"stab, stabbing",stabbing,0.99,crime,CRITICAL,1,,
38,call_38.mp3,Murder 911,8/06,New Jersey,1.0,1.0,1.0,0.0,"Murder 911 – In August 2006 a woman dialed 911 when she heard screaming on the other end of the phone while talking to her boss, Paul Duncsak, and then the line went dead. Police arrived at Duncsak’s Ramsey (NJ) home to find him dead of a gunshot wound to the head. Read more","murder 911 – in august 2006 a woman dialed 911 when she heard screaming on the other end of the phone while talking to her boss, paul duncsak, and then the line went dead. police arrived at duncsak’s ramsey (nj) home to find him dead of a gunshot wound to the head. read more",crime,CRITICAL,1,"gun, gunshot, shot, murder",gunshot,0.99,crime,CRITICAL,1,,
39,call_39.mp3,Rapist Surrenders – Penn.,,Pennsylvania,1.0,0.0,0.0,0.0,Rapist Surrenders – Penn.,rapist surrenders – penn.,other,URGENT,0,,,0.35,other,URGENT,0,,
40,call_40.mp3,Citizen on Radio – NH,,New Hampshire,1.0,0.0,1.0,0.0,"Citizen on Radio – NH – On May 10, 2007 Franconia (NH) Cpl. Bruce McKay pulled over a car for a traffic violation, and then became involved in a shoot-out with the suspect. McKay was mortally wounded, but a citizen picked up a loose gun and killed the suspect, and then used McKay’s car radio to call for help. Read more","citizen on radio – nh – on may 10, 2007 franconia (nh) cpl. bruce mckay pulled over a car for a traffic violation, and then became involved in a shoot-out with the suspect. mckay was mortally wounded, but a citizen picked up a loose gun and killed the suspect, and then used mckay’s car radio to call for help. read more",crime,CRITICAL,1,"gun, suspect",,0.8,crime,CRITICAL,1,,
41,,Tornado dispatchers – Kan.,,,,,,,Tornado dispatchers – Kan.,tornado dispatchers – kan.,other,URGENT,0,,,0.35,other,URGENT,0,,
42,call_42.mp3,Pool save – Colo.,,Colorado,1.0,0.0,1.0,0.0,Pool save – Colo.,pool save – colo.,other,CRITICAL,1,,,0.55,other,CRITICAL,1,,
43,call_43.mp3,Stabbing attack 911,5/07,Florida,1.0,3.0,1.0,0.0,"Stabbing attack 911 – In May 2007 a Tamarac (Fla.) woman dialed 911 to say her ex-boyfriend was pounding on the door. Before Broward County deputies arrived, the ex-boyfriend, Mario Cruz, threw a barbeque through a patio door, came inside and stabbed Maria Borrero and her then-boyfriend. As a deputy arrived, Cruz approached the deputy with a knife, and was shot and killed.","stabbing attack 911 – in may 2007 a tamarac (fla.) woman dialed 911 to say her ex-boyfriend was pounding on the door. before broward county deputies arrived, the ex-boyfriend, mario cruz, threw a barbeque through a patio door, came inside and stabbed maria borrero and her then-boyfriend. as a deputy arrived, cruz approached the deputy with a knife, and was shot and killed.",crime,CRITICAL,1,"shot, stab, stabbing, knife",stabbing,0.99,crime,CRITICAL,1,,
44,call_44.mp3,Deputy shooting,6/07,Indiana,0.0,1.0,1.0,0.0,"Deputy shooting – In June 2007 two Floyd County (Ind.) deputies were shot by a 15 year-old, later identified as Tyler Dumstorf. One deputy died and the other was seriously wounded when they responded to a domestic violence call at the boy’s home. Tape of the radio transmissions captures one deputy calling for help after being shot by a rifle fired by Dumstorf from inside the house.","deputy shooting – in june 2007 two floyd county (ind.) deputies were shot by a 15 year-old, later identified as tyler dumstorf. one deputy died and the other was seriously wounded when they responded to a domestic violence call at the boy’s home. tape of the radio transmissions captures one deputy calling for help after being shot by a rifle fired by dumstorf from inside the house.",fire,CRITICAL,1,fire,shooting,0.99,fire,CRITICAL,1,,
45,,OnStar Command Center,,,,,,,OnStar Command Center,onstar command center,other,URGENT,0,,,0.35,other,URGENT,0,,
46,call_46.mp3,Non-emerg 911’s,,,1.0,0.0,0.0,1.0,Non-emerg 911’s – A collection of non-emergency calls made to 911.,non-emerg 911’s – a collection of non-emergency calls made to 911.,other,NON_URGENT,0,,,0.55,other,NON_URGENT,0,,
47,call_47.mp3,Murder 911 call,7/07,Florida,1.0,1.0,1.0,0.0,"Murder 911 call – In July 2007 a Palm Beach Gardens (Fla.) father dialed 911 to report that an 18 year-old girl was dead in his son’s room from an overdose. Amanda Buckley was later found to have been strangled and bound with duct tape, and the caller’s 26 year-old son Jason Shenfeld was arrested for murder.","murder 911 call – in july 2007 a palm beach gardens (fla.) father dialed 911 to report that an 18 year-old girl was dead in his son’s room from an overdose. amanda buckley was later found to have been strangled and bound with duct tape, and the caller’s 26 year-old son jason shenfeld was arrested for murder.",crime,CRITICAL,1,murder,overdose,0.99,crime,CRITICAL,1,,
48,call_48.mp3,Pellet gun shooting – Wisc.,7/07,Wisconsin,1.0,0.0,0.0,1.0,"Pellet gun shooting – Wisc. – In July, 2007 Madison (Wisc.) resident Ronald Brandon called to report an armed man outside his house, but described","pellet gun shooting – wisc. – in july, 2007 madison (wisc.) resident ronald brandon called to report an armed man outside his house, but described",crime,CRITICAL,1,"gun, shooting",shooting,0.8,crime,CRITICAL,1,,
49,call_49.mp3,911 from closet – Fla.,7/07,Florida,1.0,0.0,1.0,0.0,"911 from closet – Fla. – In July 2007 11 year-old Rayshaun Wagner called 911 from a closet at his Jacksonville (Fla.) home to report that someone was breaking into his home. Wagner set off the home’s burglar alarm manually, then grabbed his 5 year-old brother and hid in a closet as he talked to sheriff’s dispatcher Sydney McClurkin. The call captures the police arriving. Read more","911 from closet – fla. – in july 2007 11 year-old rayshaun wagner called 911 from a closet at his jacksonville (fla.) home to report that someone was breaking into his home. wagner set off the home’s burglar alarm manually, then grabbed his 5 year-old brother and hid in a closet as he talked to sheriff’s dispatcher sydney mcclurkin. the call captures the police arriving. read more",other,CRITICAL,1,,,0.55,other,CRITICAL,1,,
50,call_50.mp3,Baby Delivery 911 – Tex.,7/07,Texas,1.0,0.0,1.0,0.0,Baby Delivery 911 – Tex.,baby delivery 911 – tex.,other,CRITICAL,1,,,0.55,other,CRITICAL,1,,
51,,Bridge collapse,8/07,Minnesota,1.0,13.0,1.0,0.0,"Bridge collapse - Calls made after the I-35 highway bridge collapsed on Aug. 1, 2007 in Minneapolis (Minn.).","bridge collapse - calls made after the i-35 highway bridge collapsed on aug. 1, 2007 in minneapolis (minn.).",medical,CRITICAL,1,collapse,,0.99,medical,CRITICAL,1,,
52,call_52.mp3,Double murder – Ken.,9/07,Kentucky,1.0,2.0,1.0,0.0,"Double murder – Ken. – In Sept. 2007 a 9 year-old in Rineyville (Ken.) dialed 911 to report his mother and former mother-in-law had been shot to death by an intruder. The dispatcher is at first skeptical, but then kicks into gear.","double murder – ken. – in sept. 2007 a 9 year-old in rineyville (ken.) dialed 911 to report his mother and former mother-in-law had been shot to death by an intruder. the dispatcher is at first skeptical, but then kicks into gear.",crime,CRITICAL,1,"shot, murder",,0.99,crime,CRITICAL,1,,
53,call_53.mp3,Child abduction (Ohio),,Ohio,1.0,1.0,1.0,0.0,"Child abduction (Ohio) – In 2005 a Cincinnati (Ohio) mother dialed 911 to report her child had been abducted by the child’s father. The father allegedly had mental problems, and later killed the child. The dispatcher told the mother to return home and not to follow the father. The mother is now suing CPD.","child abduction (ohio) – in 2005 a cincinnati (ohio) mother dialed 911 to report her child had been abducted by the child’s father. the father allegedly had mental problems, and later killed the child. the dispatcher told the mother to return home and not to follow the father. the mother is now suing cpd.",other,CRITICAL,1,,,0.8,other,CRITICAL,1,,
54,call_54.mp3,Boat rescue #1 – Minn.,,,,,,,Boat rescue #1 – Minn.,boat rescue #1 – minn.,other,URGENT,0,,,0.35,other,URGENT,0,,
55,call_55.mp3,Boat rescue #2 – Minn.,,,,,,,Boat rescue #2 – Minn.,boat rescue #2 – minn.,other,URGENT,0,,,0.35,other,URGENT,0,,
56,call_56.mp3,Missing baby,10/07,North Carolina,1.0,1.0,1.0,0.0,"Missing baby – In October 2007 Mary Creech dialed 911 in Spring Lake (NC) to report that her 11 month-old granddaughter was missing from her crib. Harnett County deputies arrived and searched the house and area, but had no leads. Several days later they discovered the baby’s body in the attic, and arrested the mother, who claimed the child died naturally.","missing baby – in october 2007 mary creech dialed 911 in spring lake (nc) to report that her 11 month-old granddaughter was missing from her crib. harnett county deputies arrived and searched the house and area, but had no leads. several days later they discovered the baby’s body in the attic, and arrested the mother, who claimed the child died naturally.",other,CRITICAL,1,,,0.8,other,CRITICAL,1,,
57,call_57.mp3,Burglary+shotgun – Tex.,11/07,Texas,1.0,2.0,1.0,0.0,"Burglary+shotgun – Tex. – In November 2007 Pasadena (Tex.) resident Joe Horn saw two men enter his next-door neighbor’s house. He dialed 911 and, despite the dispatcher’s advice, armed himself with a shotgun, confronted the two men as they left the houses, and shot and killed both of them. A grand jury later declined to indict Horn on any charges.","burglary+shotgun – tex. – in november 2007 pasadena (tex.) resident joe horn saw two men enter his next-door neighbor’s house. he dialed 911 and, despite the dispatcher’s advice, armed himself with a shotgun, confronted the two men as they left the houses, and shot and killed both of them. a grand jury later declined to indict horn on any charges.",crime,CRITICAL,1,"burglary, gun, shot",,0.99,crime,CRITICAL,1,,
58,call_58.mp3,CPR by phone – Tenn.,11/07,Tennessee,1.0,1.0,1.0,0.0,"CPR by phone – Tenn. – On November 24, 2007 a woman in Morristown (Tenn.) dialed 911 to report that a 16 year-old boy, Jordan Kaleb Shelton, wasn’t breathing. A Hamblen County dispatcher gave the caller CPR instructions as EMS units were enroute. The boy’s foster father, Kenneth Taylor, was later arrested and charged with choking the youth.","cpr by phone – tenn. – on november 24, 2007 a woman in morristown (tenn.) dialed 911 to report that a 16 year-old boy, jordan kaleb shelton, wasn’t breathing. a hamblen county dispatcher gave the caller cpr instructions as ems units were enroute. the boy’s foster father, kenneth taylor, was later arrested and charged with choking the youth.",medical,CRITICAL,1,choking,choking,0.99,medical,CRITICAL,1,,
59,call_59.mp3,#1,12/07,Nebraska,1.0,9.0,1.0,0.0,#1 – In Dec. 2007 Robert Hawkins entered the Westroads Mall in Omaha (Neb.) and killed either persons before killing himself. There were many 911 callers reporting the shooting. Listen to the various calls:,#1 – in dec. 2007 robert hawkins entered the westroads mall in omaha (neb.) and killed either persons before killing himself. there were many 911 callers reporting the shooting. listen to the various calls:,crime,CRITICAL,1,shooting,shooting,0.99,crime,CRITICAL,1,,
60,call_60.mp3,Man With Gun,11/07,Florida,1.0,0.0,1.0,0.0,"Man With Gun – In November 2007 Debbie Gabelman called 911 from her Spring Hill (Fla.) home to report that her son Kyle Gabelman, 25, had a gun and was outside the house threatening the family. The son tried to get inside the house, at one point breaking in a back window. When Kyle went to the front door with the gun, two Hernando County sheriff’s deputies shot and killed him. Read more","man with gun – in november 2007 debbie gabelman called 911 from her spring hill (fla.) home to report that her son kyle gabelman, 25, had a gun and was outside the house threatening the family. the son tried to get inside the house, at one point breaking in a back window. when kyle went to the front door with the gun, two hernando county sheriff’s deputies shot and killed him. read more",crime,CRITICAL,1,"gun, shot",,0.8,crime,CRITICAL,1,,
