case_id,text_en,source,label_category_gold,label_triage_gold,red_flags_gold
synth2_non_urgent_nu_771,"Excuse me, My kid got stung by a bee. No allergic reaction, just swelling. Should I worry? Thanks.",synthetic_v2,medical,NON_URGENT,0
synth2_non_urgent_nu_403,"Excuse me, this isn't really an emergency but I think I have food poisoning. Throwing up all day. Can keep water down though.",synthetic_v2,medical,NON_URGENT,0
synth2_non_urgent_nu_300,"Excuse me, There's a car parked on our street I don't recognize. Been here 3 days.",synthetic_v2,other,NON_URGENT,0
synth2_critical_crit_294,Hurry! my wife just told me they took all their medication to kill themselves! They're getting drowsy!,synthetic_v2,medical,CRITICAL,1
synth2_critical_crit_167,Jesus! There's a huge fire at the park! I can hear people screaming inside! They're trapped! They're dying!,synthetic_v2,fire,CRITICAL,1
synth2_non_urgent_nu_237,"Hi, I have a question, My car got scratched in the parking lot in the bathroom. Want to file a report. No rush.",synthetic_v2,crime,NON_URGENT,0
synth2_non_urgent_nu_418,"Good evening, I have a question, I think I have food poisoning. Throwing up for about 20 minutes. Can keep water down though. Whenever you get a chance.",synthetic_v2,medical,NON_URGENT,0
synth2_non_urgent_nu_215,"Hey, I lost my phone at a gas station. Is there a lost and found? Appreciate it.",synthetic_v2,other,NON_URGENT,0
synth2_non_urgent_nu_510,"Excuse me, Where do I go to file a police report for insurance purposes? Whenever you get a chance.",synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_659,"Yeah hi, Can someone come? My neighbor's boyfriend is uh, screaming at her and banging on the door. She sounded scared. Thank you.",synthetic_v2,crime,URGENT,0
synth2_non_urgent_nu_409,"Hi, My alarm system went off by mistake. False alarm. Sorry about that. Thanks.",synthetic_v2,other,NON_URGENT,0
synth2_non_urgent_nu_579,"Yeah hi, this isn't really an emergency but How do I get a copy of an accident report from last week? Thanks for your help.",synthetic_v2,other,NON_URGENT,0
synth2_non_urgent_nu_346,"Yeah hi, this isn't really an emergency but I butt-dialed you, sorry. Everything is fine here. Thanks for your help.",synthetic_v2,other,NON_URGENT,0
synth2_non_urgent_nu_530,"Yeah hi, not sure if this is the right number but I butt-dialed you, sorry. Everything is fine here.",synthetic_v2,other,NON_URGENT,0
synth2_critical_crit_28,Oh my God! Someone Someone just got shot at a pharmacy! I heard the gunshot and they fell! Hurry please!,synthetic_v2,crime,CRITICAL,1
synth2_urgent_urg_514,"Yeah hi, I can hear my neighbors fighting. Things are breaking. uh, It sounds violent but I don't think there are weapons. What should I do?",synthetic_v2,crime,URGENT,0
synth2_critical_crit_271,"A 73 year old old just collapsed, one side paralyzed, can't speak! Stroke symptoms! Please send help!",synthetic_v2,medical,CRITICAL,1
synth2_urgent_urg_119,"Hi there, I don't know what to do, My 78 year old can't catch their breath. They're wheezing really bad. They have COPD. Thank you.",synthetic_v2,medical,URGENT,1
synth2_non_urgent_nu_318,"Hey, it's not urgent or anything but I got a splinter stuck deep in my foot. Can't get it out. Is this urgent? Let me know what I should do.",synthetic_v2,medical,NON_URGENT,0
synth2_non_urgent_nu_339,There's a car parked on our street I don't recognize. Been here 3 days. Thanks for your help.,synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_745,"Hi, I need to report something, my brother is having trouble breathing. They have asthma and their inhaler isn't helping. How long will that take?",synthetic_v2,medical,URGENT,1
synth2_critical_crit_272,Jesus! Someone just got hit by a truck! They flew through the air! They're on the ground not moving! Hurry please!,synthetic_v2,medical,CRITICAL,1
synth2_non_urgent_nu_467,"Hi, I have a question, My garden gnomes were stolen from the front yard. Silly but I want to report it.",synthetic_v2,crime,NON_URGENT,0
synth2_non_urgent_nu_737,"Hi there, it's not urgent or anything but Loud music from a car in the parking lot for half an hour. It's shaking my windows. Thanks for your help.",synthetic_v2,other,NON_URGENT,0
synth2_critical_crit_236,Quick! my roommate touched a downed power line! They're unconscious! I'm so scared!,synthetic_v2,medical,CRITICAL,1
synth2_urgent_urg_54,"Hey, Smoke coming from a car at school. Getting thicker. No flames visible yet. Please send help.",synthetic_v2,fire,URGENT,0
synth2_non_urgent_nu_638,"Good evening, A car has been parked in a handicap spot without a permit at the office.",synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_710,"We need assistance, my daughter fell down the stairs and hit their head. They're conscious but confused and dizzy. What should I do?",synthetic_v2,medical,URGENT,0
synth2_non_urgent_nu_601,"Hi there, There are teenagers skateboarding in the parking structure. Not an emergency. Thanks for your help.",synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_699,"Excuse me, I need to report something, My elderly my roommate with dementia wandered off. We like, can't find them. They've been gone an hour.",synthetic_v2,other,URGENT,1
synth2_urgent_urg_208,"Hello, I don't know what to do, Someone threatened me with what looked like a knife at a grocery store. They walked away but I'm scared. Can you send someone?",synthetic_v2,crime,URGENT,0
synth2_urgent_urg_550,"Good evening, I don't know what to do, My neighbor's boyfriend is screaming at her and banging on uh, the door. She sounded scared. Can you send someone?",synthetic_v2,crime,URGENT,0
synth2_non_urgent_nu_495,"Hello, There's a car double-parked blocking traffic at a clinic. Whenever you get a chance.",synthetic_v2,other,NON_URGENT,0
synth2_non_urgent_nu_370,"Hello, I have a question, Someone left a bag on the park bench. Been there all day.",synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_611,"Hello, I don't know what to do, my wife is short of breath and their lips are kind of bluish. They have a lung condition. What should I do?",synthetic_v2,medical,URGENT,1
synth2_critical_crit_66,Someone help! my neighbor just collapsed and isn't breathing! I think it's a heart attack! Please come quickly!,synthetic_v2,medical,CRITICAL,1
synth2_urgent_urg_496,"Yeah hi, I want to report Pedestrian got clipped by a car at the beach. They can walk but their hip is hurting badly. Is someone coming?",synthetic_v2,medical,URGENT,0
synth2_urgent_urg_360,"I don't know what to do, A kitchen fire at a concert. We used the extinguisher but there's still smoke and it might reignite. How long will that take?",synthetic_v2,fire,URGENT,0
synth2_non_urgent_nu_399,"I have a question, There's a car alarm that's been going off for about an hour. No one is turning it off. Thanks for your help.",synthetic_v2,other,NON_URGENT,0
synth2_critical_crit_444,Someone help! Shots Shots fired at the beach! Multiple people down! Send everything you have! Send an ambulance!,synthetic_v2,crime,CRITICAL,1
synth2_non_urgent_nu_225,"Hey, My 46 year old has a low fever. They seem okay but I wanted to ask. Appreciate it.",synthetic_v2,medical,NON_URGENT,0
synth2_urgent_urg_596,"A female at the like, bar collapsed. They were drinking and maybe took pills. Still breathing. How long will that take?",synthetic_v2,medical,URGENT,1
synth2_urgent_urg_583,"Hey, We need assistance, A man is threatening people at the gym. He's aggressive and yelling. I don't see a weapon um, but he's big. Thank you.",synthetic_v2,crime,URGENT,0
synth2_non_urgent_nu_422,"Yeah hi, There's a homeless person sleeping in the park. They seem okay but it's very cold. Appreciate it.",synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_347,"Hey, I need to report something, Someone is trying to break into my house right now! I can hear them at the back door! Should I do anything?",synthetic_v2,crime,URGENT,0
synth2_non_urgent_nu_158,"Yeah hi, I have a question, My neighbors are playing really loud music. It's been going on for like 2 minutes. Can someone talk to them?",synthetic_v2,other,NON_URGENT,0
synth2_non_urgent_nu_62,"Hi, I just wanted to let you know, Is there a non-emergency number I should call about a noise complaint? Appreciate it.",synthetic_v2,other,NON_URGENT,0
synth2_critical_crit_470,No no no! my boss got severe burns from boiling water! Their skin is peeling off! It's really bad!,synthetic_v2,medical,CRITICAL,1
synth2_non_urgent_nu_343,"Good evening, Fireworks going off in the neighborhood. It's not a holiday. My pets are freaking out.",synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_530,"There's a situation here, My kid is having an allergic reaction. Red all over, struggling to breathe a little. um, We gave benadryl. Thank you.",synthetic_v2,medical,URGENT,1
synth2_critical_crit_226,Quick! My 74 year old female just had a heart attack I think! They're unconscious! We need help now!,synthetic_v2,medical,CRITICAL,1
synth2_critical_crit_370,Quick! There's blood everywhere! my friend cut themselves badly and it won't stop bleeding! We need help now!,synthetic_v2,medical,CRITICAL,1
synth2_critical_crit_186,Quick! my my aunt fell through a glass door and their arm is sliced open! Blood is gushing out!,synthetic_v2,medical,CRITICAL,1
synth2_critical_crit_208,Quick! My 27 year old female just had a heart attack I think! They're unconscious! Hurry please!,synthetic_v2,medical,CRITICAL,1
synth2_critical_crit_1,"Oh God oh God! There's a male here who collapsed, no pulse, not breathing at all! Send an ambulance!",synthetic_v2,medical,CRITICAL,1
synth2_critical_crit_357,Please please! There's an an active shooter at a laundromat! People are running! I can hear gunshots! Please send help!,synthetic_v2,crime,CRITICAL,1
synth2_non_urgent_nu_745,"Hi there, I just wanted to let you know, Someone broke my car window at the train station but didn't take anything.",synthetic_v2,crime,NON_URGENT,0
synth2_urgent_urg_255,"Good evening, I need help, my sister has chest tightness and their arm is numb. They have a history of heart problems. How long will that take?",synthetic_v2,medical,URGENT,1
synth2_non_urgent_nu_438,"Good evening, I just wanted to let you know, Stop sign knocked over at the corner at a warehouse. No rush.",synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_396,"Hey, I don't know what to do, Someone spilled hot oil on themselves in an apartment building. Burns on their arm and chest. Conscious and in pain.",synthetic_v2,medical,URGENT,0
synth2_critical_crit_32,Oh God oh God! my son fell through a glass door and their arm is sliced open! Blood is gushing out! I'm so scared!,synthetic_v2,medical,CRITICAL,1
synth2_non_urgent_nu_468,"I just wanted to let you know, There's a party next door that's super loud. They won't turn it down.",synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_402,"Good evening, We need assistance, A car flipped like, over at a concert! The driver crawled out, they're bleeding from the head but talking to us. Thank you.",synthetic_v2,medical,URGENT,0
synth2_urgent_urg_568,"Hello, We need assistance, my boss fell off a ladder, maybe 8 feet. They landed on their ankle. In a lot of pain like, but awake. Thank you.",synthetic_v2,medical,URGENT,0
synth2_non_urgent_nu_386,"I just wanted to let you know, I butt-dialed you, sorry. Everything is fine here. Whenever you get a chance.",synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_93,"Excuse me, my uncle has chest tightness and their arm is numb. They like, have a history of heart problems. Please send help.",synthetic_v2,medical,URGENT,1
synth2_critical_crit_379,Oh my God! A 35 year old is choking at the restaurant! They're grabbing their throat! Someone help! Please come quickly!,synthetic_v2,medical,CRITICAL,1
synth2_critical_crit_192,Oh God oh God! My My kitchen caught fire and now the whole apartment is burning! I barely got out! I'm so scared!,synthetic_v2,fire,CRITICAL,1
synth2_urgent_urg_50,"Good evening, I need to report something, An elderly male fell at a hotel. They can't get up. Their hip might be broken. Is someone coming?",synthetic_v2,medical,URGENT,0
synth2_urgent_urg_346,"Yeah hi, I'm calling because My 12 year old diabetic is unresponsive but breathing. They um, missed their insulin. Is someone coming?",synthetic_v2,medical,URGENT,1
synth2_non_urgent_nu_303,"Good evening, My garden gnomes were stolen from the front yard. Silly but I want to report it. Thank you.",synthetic_v2,crime,NON_URGENT,0
synth2_urgent_urg_750,"Hi, I don't know what to do, I was attacked by a stray dog at a gas station. Bites on my arm. It might be rabid. What should I do?",synthetic_v2,medical,URGENT,0
synth2_urgent_urg_702,"I need help, My kid is having an allergic reaction. Red all over, struggling to breathe a little. We like, gave benadryl. How long will that take?",synthetic_v2,medical,URGENT,1
synth2_critical_crit_484,Oh my God! a woman fell through a glass door and their arm is sliced open! Blood is gushing out! Please send help!,synthetic_v2,medical,CRITICAL,1
synth2_urgent_urg_58,"I'm calling because I was just robbed at a church. They uh, took my bag and pushed me. I'm not badly hurt but shaken up. Thank you.",synthetic_v2,crime,URGENT,0
synth2_non_urgent_nu_368,"I just wanted to let you know, My package was stolen from my porch. I have it on camera. Appreciate it.",synthetic_v2,crime,NON_URGENT,0
synth2_critical_crit_415,Please please! I found my my daughter hanging! I cut them down but they're not breathing!,synthetic_v2,medical,CRITICAL,1
synth2_non_urgent_nu_684,"Hi, I have a question, I'd like to know if there's a warrant out for an old traffic ticket. Thank you.",synthetic_v2,other,NON_URGENT,0
synth2_non_urgent_nu_178,"Hi there, I just wanted to let you know, My garden gnomes were stolen from the front yard. Silly but I want to report it.",synthetic_v2,crime,NON_URGENT,0
synth2_urgent_urg_220,"Hello, There's a situation here, A car flipped over at a clinic! The driver crawled out, they're bleeding from the head but talking to us. Should I do anything?",synthetic_v2,medical,URGENT,0
synth2_non_urgent_nu_302,"Excuse me, not sure if this is the right number but There's graffiti on our building that wasn't there yesterday. Appreciate it.",synthetic_v2,crime,NON_URGENT,0
synth2_non_urgent_nu_202,"Hi there, I just wanted to let you know, Loud music from a car in the parking lot all day. It's shaking my windows.",synthetic_v2,other,NON_URGENT,0
synth2_non_urgent_nu_799,There's a party next door that's super loud. They won't turn it down. Let me know what I should do.,synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_241,"Hey, We need assistance, my wife is having trouble breathing. They have asthma and their inhaler isn't helping. How long will that take?",synthetic_v2,medical,URGENT,1
synth2_critical_crit_118,No no no! An explosion just happened at a restaurant! There's fire everywhere and people are hurt! Hurry please!,synthetic_v2,fire,CRITICAL,1
synth2_non_urgent_nu_671,"Hey, I just wanted to let you know, My alarm system went off by mistake. False alarm. Sorry about that. Let me know what I should do.",synthetic_v2,other,NON_URGENT,0
synth2_critical_crit_438,Help! A A child is having a severe allergic reaction! Their face is swelling and they can't breathe! The epipen isn't working! Please send help!,synthetic_v2,medical,CRITICAL,1
synth2_critical_crit_78,No no no! A person got hit by a car and they're bleeding from everywhere! They're not moving! We need help now!,synthetic_v2,medical,CRITICAL,1
synth2_non_urgent_nu_255,not sure if this is the right number but Somebody egged our house last night. Just want to report it. Let me know what I should do.,synthetic_v2,crime,NON_URGENT,0
synth2_non_urgent_nu_260,"Hi, this isn't really an emergency but Calling back to say the situation resolved. No need to send anyone.",synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_126,"Hey, Something happened, There's a pregnant woman bleeding heavily. She's about 7 months along. Please send an ambulance. Can you send someone?",synthetic_v2,medical,URGENT,1
synth2_critical_crit_305,Oh no! A building is on fire and people are on the upper floors! They can't get out! Hurry please!,synthetic_v2,fire,CRITICAL,1
synth2_urgent_urg_657,"I need help, My elderly a stranger um, with dementia wandered off. We can't find them. They've been gone an hour. Can you send someone?",synthetic_v2,other,URGENT,1
synth2_critical_crit_141,Someone help! I found a child unconscious on the floor! They're blue in the face! Not breathing! They're dying!,synthetic_v2,medical,CRITICAL,1
synth2_non_urgent_nu_335,"Hi, not sure if this is the right number but False alarm. The fire alarm went off from cooking smoke. Everything's fine.",synthetic_v2,fire,NON_URGENT,0
synth2_urgent_urg_87,"Good evening, I want to report There's a suspicious person following me in the kitchen. I'm scared. They've been behind me for blocks. Should I do anything?",synthetic_v2,crime,URGENT,0
synth2_critical_crit_388,No no no! A male got got electrocuted at the gym! They're on the ground shaking and then went still! I'm so scared!,synthetic_v2,medical,CRITICAL,1
synth2_critical_crit_251,Oh God oh God! a teenager got got severe burns from boiling water! Their skin is peeling off! It's really bad!,synthetic_v2,medical,CRITICAL,1
synth2_urgent_urg_774,"Excuse me, Something happened, A female just um, started convulsing at the shopping mall. I put them on their side. They have a history of seizures. Is someone coming?",synthetic_v2,medical,URGENT,1
synth2_critical_crit_459,Oh no! My kitchen caught fire and now the whole apartment is burning! I barely got out! Please come quickly!,synthetic_v2,fire,CRITICAL,1
synth2_urgent_urg_331,"Hey, I need help, A male at the movies uh, is having an asthma attack. They're conscious but really struggling to breathe. Please send help.",synthetic_v2,medical,URGENT,1
synth2_critical_crit_335,Someone help! My kitchen caught fire and now the whole apartment is burning! I barely got out! I'm so scared!,synthetic_v2,fire,CRITICAL,1
synth2_non_urgent_nu_537,not sure if this is the right number but There's a party next door that's super loud. They won't turn it down. Thank you.,synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_223,Pedestrian got clipped by a car at the beach. They can walk but their hip is hurting badly. Is someone coming?,synthetic_v2,medical,URGENT,0
synth2_non_urgent_nu_204,"Hi there, I have a question, Someone stole my bike at a bus stop. I just noticed it's gone. Thank you.",synthetic_v2,crime,NON_URGENT,0
synth2_non_urgent_nu_570,"Hi there, I have a question, Someone broke my car window at a construction site but didn't take anything. Thank you.",synthetic_v2,crime,NON_URGENT,0
synth2_urgent_urg_594,"Yeah hi, There was a fender bender and now one of the drivers is complaining of neck pain. They don't want to move. How long will that take?",synthetic_v2,medical,URGENT,0
synth2_urgent_urg_128,I'm calling because My 30 year old didn't come home from school. It's been over 2 hours. Phone goes to voicemail. What should I do?,synthetic_v2,other,URGENT,0
synth2_non_urgent_nu_272,"Good evening, Someone parked blocking my driveway. Been here for maybe 15 minutes. No rush.",synthetic_v2,other,NON_URGENT,0
synth2_non_urgent_nu_563,"Hi, it's not urgent or anything but There's a car double-parked blocking traffic at a stadium. Appreciate it.",synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_356,"Hi there, I need help, I was attacked by a stray dog at the movies. Bites on my arm. It might be rabid. How long will that take?",synthetic_v2,medical,URGENT,0
synth2_urgent_urg_104,"I need help, A dog uh, just bit my 56 year old! It's a deep bite on the leg. Bleeding a lot. What should I do?",synthetic_v2,medical,URGENT,0
synth2_non_urgent_nu_285,"Hey, it's not urgent or anything but Traffic light not working at the intersection at the beach. Appreciate it.",synthetic_v2,other,NON_URGENT,0
synth2_non_urgent_nu_354,"Good evening, this isn't really an emergency but I cut my finger in the kitchen. Not deep but won't stop bleeding. Should I go to urgent care? Thanks.",synthetic_v2,medical,NON_URGENT,0
synth2_non_urgent_nu_526,this isn't really an emergency but There's graffiti on our building that wasn't there yesterday. Thank you.,synthetic_v2,crime,NON_URGENT,0
synth2_urgent_urg_500,"Excuse me, Can someone come? There's a small fire at the airport. Smoke is coming uh, from a trash can. It could spread. Should I do anything?",synthetic_v2,fire,URGENT,0
synth2_non_urgent_nu_447,"Good evening, it's not urgent or anything but Somebody egged our house last night. Just want to report it. No rush.",synthetic_v2,crime,NON_URGENT,0
synth2_critical_crit_351,Please please! My 37 year old fell from the window! Second floor! They're lying on the ground not moving!,synthetic_v2,medical,CRITICAL,1
synth2_urgent_urg_7,"Yeah hi, I'm calling because Two people are in a uh, physical altercation at the train station. Fists only. One of them fell down. What should I do?",synthetic_v2,crime,URGENT,0
synth2_urgent_urg_175,"Yeah hi, Something happened, My 60 um, year old diabetic is unresponsive but breathing. They missed their insulin.",synthetic_v2,medical,URGENT,1
synth2_critical_crit_399,Oh my God! My 94 year old fell from the window! Second floor! They're lying on the ground not moving! Send an ambulance!,synthetic_v2,medical,CRITICAL,1
synth2_urgent_urg_770,"Hi there, I need to report something, There was a fender bender and now one of the drivers is like, complaining of neck pain. They don't want to move.",synthetic_v2,medical,URGENT,0
synth2_non_urgent_nu_44,"Good evening, I have a question, There's a car alarm that's been going off all day. No one is turning it off. No rush.",synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_683,"Excuse me, Something happened, Someone threatened me um, with what looked like a knife at a nursing home. They walked away but I'm scared. What should I do?",synthetic_v2,crime,URGENT,0
synth2_critical_crit_465,Quick! my wife fell from the roof! Maybe 15 feet! They're not moving at all! Send an ambulance!,synthetic_v2,medical,CRITICAL,1
synth2_non_urgent_nu_787,"I have a question, An abandoned car has been on our street for over a week.",synthetic_v2,other,NON_URGENT,0
synth2_non_urgent_nu_707,"Hi, I just wanted to let you know, My kid got stung by a bee. No allergic reaction, just swelling. Should I worry? Let me know what I should do.",synthetic_v2,medical,NON_URGENT,0
synth2_urgent_urg_369,"Hello, There's a situation here, There's a small child alone at home. No parent around. They look scared and lost.",synthetic_v2,other,URGENT,0
synth2_non_urgent_nu_243,"Hello, I accidentally hit the emergency button. I'm okay, no help needed. No rush.",synthetic_v2,other,NON_URGENT,0
synth2_urgent_urg_57,"Hi, There's a couple fighting in a parking lot. Yelling and pushing. No weapons. One person has a bloody nose. Should I do anything?",synthetic_v2,crime,URGENT,0
synth2_critical_crit_472,Quick! my boss fell into the river! The current took them! I can't see them anymore! Send an ambulance!,synthetic_v2,medical,CRITICAL,1
synth2_urgent_urg_177,"Hi, I'm calling because My 48 year old diabetic is unresponsive but breathing. They missed their insulin. Should I do anything?",synthetic_v2,medical,URGENT,1
