case_id,source,text_en,label_category_gold,label_triage_gold,red_flags_gold,input_quality,deaths,potential_death,false_alarm,state,date,sample_weight
911_24,kaggle_911,"239, holed here. Hold on there. It's 11 hours. What's your location? 133. Bannister Road at 151 hours. You got anybody with yowu 39? 30 is going to be. I saw you with him at 1512. Shot. Assist. The author of A Down, 1331 East, Spanish through 530 230 is in round any of the car responds. 2 157. 22 225, 250 code, 1 and 230 code 1 and 1513 hours. Partee. All I got was the black now. 39 239. He shot me through the right arm but I'm fine. See, that's B. Lydia white male in his 50s uh, southbound Olivia and I this on 1 Gunn coming and uh he might be on with another gunned. Information cars in regards to assist the officer. Has been shot. They suspect it's going to be a white male in the 50s. He was last seen Southbound on, Lydia from vanisher. Hurry up. He thought his way from the pan. We're out 35 as our scene. Lead information. If Mr. Carr. Regards to assistance, we have an officer shot to 1331 East Bannister, the suspects of white males 50s, his last name, Southbound on Lydia from banister. 230, 230. And then, uh, let's go ahead and we're going to steal this area off. What? I need, a few more cars. Uh, just 690 up and can you put that out city? Wide. On that vehicle. We're passing. And traffic. So the information was put out 690 is around from the PAAD. 5.5 5.1 will be 108. Inn the second. I Kopi 535, and 541 108 107 in the area 1515, 230. Goe ahead for 230. We're going to fill out the ariya. You got any locations. 27 will give you a southbound perimeter here in second.",crime,CRITICAL,1,meaningful,3.0,1.0,0.0,Missouri,4/07,2.0
911_25,kaggle_911,"Negative. 155. I'm inside. Target on the north entrance of Target. North entrance of Target. I copied to 15 at your location. We're also getting Miss regards to somebody's been shot inside the GNC store. Soundz, like he's in the mall. 15, get some help there in Rapid deployment in there. I am in, I'm trying to get to the small entrance through Target. There's other officers on the left side ove. 220 call Rapids woman having a car Citywide respond over there. Code 1. Fired. Into the mall, we have shots, fired and outside the mall. 220. All right, for the appointment, City Wide, all cars, not in service in serviced front code. Now. Calling the citiwide assist in regards to 220, any card, that's not out of service on a call. You need to respond to word Parkway Shopping Center. You switch the location. You want them at 2:20? It's been Schott. He's alright, outside. Get some officers down here. Partie is down. He was armed with a assault rifle. The Citywide assist, the suspect's men shot is down. Mass is being ordered and 1534 other cards are in route. Continued code 1, I press 23, we have Wynnewood against the doctor here. Please, where you at? Partee. Where you have? Plenty officers. Right inside the target entry and the target entrance. Inside the mall, any law enforcement been involved or shot. Sit down. We've got plenty of officers here, just keep holding the air with you and try to get him in custody. Continue to holed are at 1535. I hawed 210. All right. Custody.",crime,CRITICAL,1,meaningful,3.0,1.0,0.0,Missouri,4/07,2.0
911_26,kaggle_911,"oakland tanker fire 911 – in jan. 2007 a tanker traveling through an interstate highway interchange in oakland (calif.) overturned, setting a fire that melted an overpass that cut a key highway link in the bay area. many people dialed 911 to report the 8,000 gallon gasoline tanker crash and fire. the driver was badly burned, and ended up walking over a mile to a convenience store where a cab driver realized her was injured and drove him to a hospital.",fire,CRITICAL,1,meaningful,0.0,1.0,0.0,California,4/07,2.0
911_30,kaggle_911,"Fire alarm office. Okay, this is County. It's a medical emergency. I can't understand the caller but they're at 5657 East lamb. 5657 elem, e. L a m is a 5 year apartment. There's something wrong with this chilled. I can't understand. You said they're breathing. Yeah, I do. She's right now. Why? I don't know how long. Maybe she's staying now. What? Maybe? Man. Know, don't demand that I go. Okay, did she drowned? Yeah, she she was right. Why are you getting that? I almost died. Yeah. Is she breathing now? How old is she? I don't know. Let me start pulling. Um, you can I got meddic on the way already. Um, I'm going to go ahead and disconnect. Okay, Hey sir, hold on, hold on, 1 second. All right. What's our our number? Hey sir. I got to get somebody on here that can help us with this language barrier here. Uh, I'm looking for a client ID. Let's see. Uh, Columbus Communications agency, ID is 1. 1 2 013. Thank you and what language please I believe in Spanish right now. Okay, hold on, hold on Sir. What language Spanish, I don't know. Okay, may I have your personal code, pleased, B, 0073. And then 7, B as in boy 0007. Okay, the government. I think I'm going to call you. Maybe he's back, I don't know. Okay. Okay. there are apparently, there is a girl who fell down in the leick 9 hours ago and they have Something to know now and apparently the girls almost dying. She needs an ambulance ASAP. Okay, 9 hours ago or 9, is she a 9 year old? What are they saying?",other,CRITICAL,1,meaningful,1.0,1.0,0.0,Ohio,5/07,2.0
911_31,kaggle_911,"911 location of yore, emergency. Outside somebody's shooting at the sheriff's department at the sheriff's department. Building in Lake County. Yes. And do you see the person? Yes, I have already cross the street. Can you please get The copier like right now? Somebody's shooting all around. Are you so funny? Okay, but I got somebody on the way there, but I need to know. What is he look like? I don't know. I can't see. It's really dark. He's in the parking lot and he's shooting. He says, oh my God. Oh, my gahd. Please, please hurry. Oh my God. Doe, you know where it's coming. From exactly like there's somebody walking around in the parking lot. She's just walking around shopping. And I'm right across the street and I don't want them to come and get my house. Now, I know we got a whole bunch of people on the way there. I have to let you go though. Cuz we have multiple 911. Okay. Okay. Okay. Bye. Again, you've been listening to the very first 911 call May.",fire,CRITICAL,1,meaningful,2.0,1.0,0.0,Idaho,5/07,2.0
911_32,kaggle_911,"Procedures on Sunset Larry, please. Come here. Okay. Calm down a little bit. Okay. What's the address where you need it? It's Sunset and Larry. It's at The Viper Room. Okay. What's the address sir? Do you know what's the address of the club? Hey, sir. Sir. Come down a little bit. Okay, I'm sorry. It's my brother. Please come here. Charles Lizzy, he's 23, calm down. Okay, if you can't calm down, give the phone to somebody else. This is the only else around, okay, I'm fine know, I think he's the head volume or something. I don't know. Who's with him right now. Um, my sister, the people, okay? Can you talk to her from where you are? She's trying to give them mouth to mouth, sir. Calm down, tell her, not to give them out from mouth. Don't give them mouth to mouth. You only give them mouth to mouth if he's not breathing. What's he doing? Just seems like he's sleeping right now. 6423, please. Okay. That's very normal. Okay, that's very normal. Sometimes we have to do, in fact, sometimes they do actually go to sleep if he goes into another seizure, okay. And sometimes they do that, just let him have a seizure, don't try and restrain him. All right, well, what about putting my tip behind his mouth. Do not put nothing in his mouth. Okay? Okay. He will not swallow his tongue, believe me? You just let him go ahead and have a seizure. Are on the way they should be there.",medical,CRITICAL,1,meaningful,1.0,1.0,0.0,California,10/93,2.0
911_33,kaggle_911,"3 34 p.m. 44 seconds. June 6th 2007. 911. Emergencee. Red arrow going down red arrow and I had a wheelchair in front of it with a guy and I don't think he knew that he has a, he's pushing a wheelchair down the road with the man. I've, I've got it. I've got it. Thank you. Bye, bye. 3:33 p.m. 43 seconds' June 6th, 2007. Hellooooo. Thice is 911. Where are you? Okay. Okay. Stopped yelling. I can't understand you. Where are you? It is so cold. It is on the front, okay? Unless you're good afternoon in front of the Middle School. Okay. Okay, we'll get help over there. 911. You need to calm down. I have help on the way. 73. My color is advising, a semi hid, a subject in a wheelchair with somebody continued westbound on Michigan. Or ah, Rock. Done. Yeah. Okay. What direction does the sun go into the go westbound? I don't know. It's going like, I'm I don't know what is it going out of town? Or in the town? It's going out of town. I believe. Can you give me a description of it? It looks like it didn't have a trailer. It was white. Okay, white white semi tractor. Yes. Yessss. Pardon me. It wasn't hold on. Did you where are you at right now? I'm standing. Like I'm just passed. Umm, there's a street. I can't see. I'm like, across from game and place. 1536 summer tractor with no trailer. 473. I in front of the middle school, where are you? I just saw him turn around. I'm waiting to be corner. Like I'm alright. And like the whole agency. I'm just relying Ahn. Hogan insurance.",other,CRITICAL,1,meaningful,0.0,1.0,0.0,Michigan,6/07,2.0
911_34,kaggle_911,"DC emergency 911, dispatch fire or ambulance. Does someone need police fire? Ambulance? I'm calling in ran through and a white bathroom. A car ran through and ran over about 5 or 6 7. People just went over like, um, a man's land on the ground. His head is bleeding and okay. Okay, what's the phone number you calling from please? Ma'am dough. You need the ambulance? We need everything. What is the address? And wWhat is the problem. What? The problem I've just explained it a lot is hitting people for longe reasons. And people are hurt. People are on the ground people ran over. We need a helicopter sisters immediately. Okay? And you're going to close down. Metrics and it's over a thousand people on here. So we don't have the ambulance. I can't use you real. Well, let's say too much noise in the background. It's real hard for ambulances to get through. For the simple fact is over a thousand people out here. Okay, MPD, they offer, you hear me, MPD is on the scene there all through the concert on the scene there. Ambulance. What was the address? Okay, all right, ma'am, are you at 13th? And W Street? Yes, the home street where the uniformed said, okay, are you are you on Martin Luther King or W? Uh, Martin Luther King. I'm at I'm at 13 and uh W Street. Stay down. Okay. So are you at 13? What's going on at 13 down? Sir, ma'am. Yes. Okay. Southeast in reference to someone okay, someone was hit the ground is right, is right down the street from the unifest. Okay.",other,CRITICAL,1,meaningful,0.0,1.0,0.0,DC,6/07,2.0
911_35,kaggle_911,"Wednesday 5 9 207 at 1:43 a.m. No 1 State emergency. Hold on, come on. Momental circles you're already in the hospital, hold on a moment. Yes, 90, 128 Century, Sheriff Spanish. What's his emergency, sir? Yeah. Hold on. Hey my, my lady problem. Treeing to get an interpreter for you, sir. Yes. Can you find out what is emergency is, please? Okay. The emergency room. Is dying. The nurses don't want to help her out. Okay. What do you mean? She's dying. What's wrong with her? She's vomiting blood. Okay. And why are they helping her? Watching her. Uh, uh, they're watching her there and they're just not doing anything. They're just watching her. Okay. She he needs to contact a nurse or a doctor and let them know. She's vomiting blood. Umm, paramedics are not going to pick him up or pick his wife up from a hospital, cuz she's already at 1, okay. Doctor. They don't, they don't let me Inn. They're not going to let him in if she's in the emergency room and he's not going to come in. If he's being, if he's causing a problem, he needs to contact us, the the County police officers at the security desk there. Okay, okay, so you know, b, b, I'll I'll, I'll let you go. Okay, thank you. All right. Okay, thank you, sir. Goodbyes. Wednesday 5 9, 2007 at 1:50 1 a.m. Emergency. On the on the ground. Uh and then an emergency room and talked to the team and they are overlooking her claim and she's been discharged and she's definitely sitting and everybody is just knowing her what you want me to do.",other,CRITICAL,1,meaningful,1.0,1.0,0.0,California,5/07,2.0
911_36,kaggle_911,"Delvin 911. What's your emergency? Yes, I live at 9. Uh, 301 South 2nd Street. Mhm, Apartment. A I got a gentlemen here that says there's been some gunshots fired outside. Okay. Uh, did you hear them yourself or did you know? I didn't the gentleman's right here. He wants to talk to you. Okay, put him on. Hello, okay. You see, uh, gunshots. Yeah, I wasn't. My house. And uh, my sister-in-law her boyfriend coming And start shooting everybody, the roof. What you saw the person doing this? Yeah. Okay. We're at 309 739, please. What's the person's name? That's shooting. What's his name? With the gunned. I wanted the roof I, I I like jump out. He dropped his Heir, shooting my wife and all kids. I don't know. I'm Hey! Hey listen! At 309 South 2nd Street, he's shooting your wife and kids and my wife and I still shouldn't Have that I don't know about the people, but there was another, my friend. Okay, so my boyfriend. Okay, so he's at the house now. Yeah. Okay. Hold on for a moment.",crime,CRITICAL,1,meaningful,6.0,1.0,0.0,Wisconsin,6/07,2.0
911_37,kaggle_911,"Fairfield 91 dispatcher 516. Where's your emergency ambulance 111 cavity okay? What's going on? Hello. Mann has been stabbed, okay. Who who stabbed him? Has been stabbed. Okay. Who stabbed hymn? You need to send an ambulance straight away, okay? We have people in route who stabbed hymn. Sure. People are on the way you have to. Where is the neighbor? Hello sir. Good. All right. Who stabbed? Who is the man in the wooden? Can you tell me what happened? Yes, they're Inn route. You need to answer my questions. Who stabbed, who everyone is coming? Why can't you answer my question? Please send an ambulance to me. All right. They are Inn route. You need to Answer my questions. Stabbed too, sir. Fairfield Police dispatcher 516. Uh yeah I'm looking for officer will, please hold on 1 moment. Let me give you the front desk. Thank you. Communications, hi. Hi for Colonie Street. What is that for? It's a stabbing. Okay, all right. Thanks bye. Fairfield 911 dispatch the emergency. Yes, call 101. Colonies do Fairfield what's happening. Now ma'am we just have my son. What happened? The manager stabbed my son, 1 the My Colony Street, Fairfield who did this some neighbor? Is he still there? No, he's going and ran out. We are calling the ambulance. Please is this on breathing, keep breathing, but it stabbed it bleeding here. Breathing. Some of his dad somebody 1 01 Street. Where is the person that did this sir next door? Can you can you tell is that? Will you please don't hang up, don't hang up.",crime,CRITICAL,1,meaningful,1.0,1.0,0.0,Connecticut,6/07,2.0
911_38,kaggle_911,"911 mature emergency. Hi, I'm just speaking to my boyfriend. He was entering his home and I heard loud screaming and now this dead air on the other end. And where is your boss? It's 95. West Crescent, Ramsay 95 West Crescent. Yes, West Crescent. In Ramsey, yes. Name. His name is Paul p. A u l. V u n c. Z u, n. C. S a k. S h a s a k as in kite s, h k. Okay son. I'm sorry. Z as in zebra. U n d as in David d as in David u n as in Nancy. Okay. S as in Sam a K is in kite. Okay, ma'am, calm down. What is his phone number? I'm sorry. What's his phone number is? I'm on. I have the Open Line. I understand. That ma'am. No problem, ma'am. I will give remai a call. Okay. Thank you Ramsey, please dispatch, your car. Yeah, it's promised. How are you? I just got a call from a lorry gasket. Please go back. I can't even say it. I'll spell it g. E r b, a s. I from White cloth stating that she was talking to her boss and he had just gotten home, he walked in the door, he walked into his house, which is in your town and screamed, and now she has dead. Heir, he his name his last name is Diaz. And David u. N s a k. Is it 95 West? Crescent Street. West questioned Avenue. We have okay. West Crescent Avenue. Yes. And his phone number is when she can't get through again. Uh, it's dead. Are like the, like the phone just went dead. I'll give you her phone number also. Okay. All righty, you got it. Thank you. Bye. Bye.",crime,CRITICAL,1,meaningful,1.0,1.0,0.0,New Jersey,8/06,2.0
911_40,kaggle_911,"04 p.m. 3 seconds'. May 11th, 2007. 44 K, * 40. Passenger 1 961, 215. It's going to be on route. 116, San Antonio. And if you have a Chevy Hill, you land available, I don't have an operator as leaked, okay? And he's going to have a partner with him. 95 worth 1093, just be advised and we are on 16, are you? Approaching the intersection with copper mine Road. The registration shows expired. 4 of 2007. 105 all 10 for 47. 520. number, the second trailer up on Don't have any statice. Number 25. 1699. Crafting to 4747. I copied 44 case, traffic. 4744 k. 47. you guys, we're on the back side of throwaway code, we are headed that way for He has an operator with a passenger. I did not catch the named. He must be familiar. And I called the name and I'm familiar. 44. 1043 South to uh, Houston the vehicle. Toyota blue. 607 p.m. 50 seconds, May 11, 2007, 520 for Pharm contact. Gogh. 609 p.m. 15 seconds, May 11 2007, Grafton 44, Grasped into 44. And grasped into 44, okay. We're asking, 44. 610 p.m. 21 seconds, May 11th, 2007 graphic 4K. Crafting 520d. That's alright. Yeah. You go to the instructions of 115 and 112, I'm not able to raise 44k for a status use health and 116. So when you come out of Hello. You recording all day. You want me to realease 44k? I got that 116. Is the on 112 on 116. Headed towards 112. If you go to that Inception. Travel time from. I thought I don't know again, 520d. I don't know why. I don't think responding. All unit stations, emergency traffic, only. 612 p.m.",crime,CRITICAL,1,meaningful,0.0,1.0,0.0,New Hampshire,,2.0
